VariationID;MarketID;MarketAccountID;SKU;ParentSKU
1333;4;0;ShirtBen001HempBlackXXL_Longsleeve;ShirtBen001HEMPparent
1334;4;0;ShirtBen001HempCreamWhiteL;ShirtBen001HEMPparent
1335;4;0;ShirtBen001HempCreamWhiteL_Longsleeve;ShirtBen001HEMPparent
1336;4;0;ShirtBen001HempCreamWhiteM;ShirtBen001HEMPparent
1337;4;0;ShirtBen001HempCreamWhiteM_Longsleeve;ShirtBen001HEMPparent
1338;4;0;ShirtBen001HempCreamWhiteXL;ShirtBen001HEMPparent
1339;4;0;ShirtBen001HempCreamWhiteXL_Longsleeve;ShirtBen001HEMPparent
1340;4;0;ShirtBen001HempCreamWhiteXXL;ShirtBen001HEMPparent
1341;4;0;ShirtBen001HempCreamWhiteXXL_Longsleeve;ShirtBen001HEMPparent
1342;4;0;ShirtBen001HempWeissL;ShirtBen001HEMPparent
1343;4;0;ShirtBen001HempWeissL_Longsleeve;ShirtBen001HEMPparent
1344;4;0;ShirtBen001HempWeissM;ShirtBen001HEMPparent
1345;4;0;ShirtBen001HempWeissM_Longsleeve;ShirtBen001HEMPparent
1346;4;0;ShirtBen001HempWeissXL;ShirtBen001HEMPparent
1347;4;0;ShirtBen001HempWeissXL_Longsleeve;ShirtBen001HEMPparent
1348;4;0;ShirtBen001HempWeissXXL;ShirtBen001HEMPparent
1349;4;0;ShirtBen001HempWeissXXL_Longsleeve;ShirtBen001HEMPparent
1394;4;0;ShirtBen001NaturL;ShirtBen001parent
1395;4;0;ShirtBen001NaturM;ShirtBen001parent
1396;4;0;ShirtBen001NaturXL;ShirtBen001parent
1397;4;0;ShirtBen001NaturXXL;ShirtBen001parent
1398;4;0;ShirtBen001WeissL;ShirtBen001parent
1399;4;0;ShirtBen001WeissM;ShirtBen001parent
1400;4;0;ShirtBen001WeissXL;ShirtBen001parent
1401;4;0;ShirtBen001WeissXXL;ShirtBen001parent
1292;4;0;ShirtBen001parent;
1402;4;0;ShirtBen002BlackL_longsleeve;ShirtBen001parent
1403;4;0;ShirtBen002BlackM_longsleeve;ShirtBen001parent
1404;4;0;ShirtBen002BlackXL_longsleeve;ShirtBen001parent
1405;4;0;ShirtBen002BlackXXL_longsleeve;ShirtBen001parent
1406;4;0;ShirtBen002BlueL_longsleeve;ShirtBen001parent
1407;4;0;ShirtBen002BlueM_longsleeve;ShirtBen001parent
1408;4;0;ShirtBen002BlueXL_longsleeve;ShirtBen001parent
1409;4;0;ShirtBen002BlueXXL_longsleeve;ShirtBen001parent
1410;4;0;ShirtBen002NaturL_longsleeve;ShirtBen001parent
1411;4;0;ShirtBen002NaturM_longsleeve;ShirtBen001parent
1412;4;0;ShirtBen002NaturXL_longsleeve;ShirtBen001parent
1413;4;0;ShirtBen002NaturXXL_longsleeve;ShirtBen001parent
1414;4;0;ShirtBen002WeissL_longsleeve;ShirtBen001parent
1415;4;0;ShirtBen002WeissM_longsleeve;ShirtBen001parent
1416;4;0;ShirtBen002WeissXL_longsleeve;ShirtBen001parent
1417;4;0;ShirtBen002WeissXXL_longsleeve;ShirtBen001parent
1462;4;0;ShirtRZI01buttonBlackL;ShirtRZI01buttonParent
1463;4;0;ShirtRZI01buttonBlackL_longsleeve;ShirtRZI01buttonParent
1464;4;0;ShirtRZI01buttonBlackM;ShirtRZI01buttonParent
1465;4;0;ShirtRZI01buttonBlackM_longsleeve;ShirtRZI01buttonParent
1466;4;0;ShirtRZI01buttonBlackXL;ShirtRZI01buttonParent
1467;4;0;ShirtRZI01buttonBlackXL_longsleeve;ShirtRZI01buttonParent
1468;4;0;ShirtRZI01buttonBlackXXL;ShirtRZI01buttonParent
1469;4;0;ShirtRZI01buttonBlackXXL_longsleeve;ShirtRZI01buttonParent
1470;4;0;ShirtRZI01buttonBlackXXXL;ShirtRZI01buttonParent
1471;4;0;ShirtRZI01buttonBlackXXXL_longsleeve;ShirtRZI01buttonParent
1472;4;0;ShirtRZI01buttonNaturL;ShirtRZI01buttonParent
1473;4;0;ShirtRZI01buttonNaturL_longsleeve;ShirtRZI01buttonParent
1474;4;0;ShirtRZI01buttonNaturM;ShirtRZI01buttonParent
1475;4;0;ShirtRZI01buttonNaturM_longsleeve;ShirtRZI01buttonParent
1476;4;0;ShirtRZI01buttonNaturXL;ShirtRZI01buttonParent
1477;4;0;ShirtRZI01buttonNaturXL_longsleeve;ShirtRZI01buttonParent
1478;4;0;ShirtRZI01buttonNaturXXL;ShirtRZI01buttonParent
1479;4;0;ShirtRZI01buttonNaturXXL_longsleeve;ShirtRZI01buttonParent
1480;4;0;ShirtRZI01buttonNaturXXXL;ShirtRZI01buttonParent
1481;4;0;ShirtRZI01buttonNaturXXXL_longsleeve;ShirtRZI01buttonParent
1423;4;0;ShirtRZI01buttonParent;
1482;4;0;ShirtRZI01buttonWeissL;ShirtRZI01buttonParent
1483;4;0;ShirtRZI01buttonWeissL_longsleeve;ShirtRZI01buttonParent
1484;4;0;ShirtRZI01buttonWeissM;ShirtRZI01buttonParent
1485;4;0;ShirtRZI01buttonWeissM_longsleeve;ShirtRZI01buttonParent
1486;4;0;ShirtRZI01buttonWeissXL;ShirtRZI01buttonParent
1487;4;0;ShirtRZI01buttonWeissXL_longsleeve;ShirtRZI01buttonParent
1488;4;0;ShirtRZI01buttonWeissXXL;ShirtRZI01buttonParent
1489;4;0;ShirtRZI01buttonWeissXXL_longsleeve;ShirtRZI01buttonParent
1490;4;0;ShirtRZI01buttonWeissXXXL;ShirtRZI01buttonParent
1491;4;0;ShirtRZI01buttonWeissXXXL_longsleeve;ShirtRZI01buttonParent
1492;4;0;ShirtRZI02ButtonfreeBlackL;ShirtRZI02ButtonfreeParent
1493;4;0;ShirtRZI02ButtonfreeBlackM;ShirtRZI02ButtonfreeParent
1494;4;0;ShirtRZI02ButtonfreeBlackXL;ShirtRZI02ButtonfreeParent
1495;4;0;ShirtRZI02ButtonfreeBlackXXL;ShirtRZI02ButtonfreeParent
1496;4;0;ShirtRZI02ButtonfreeBlackXXXL;ShirtRZI02ButtonfreeParent
1424;4;0;ShirtRZI02ButtonfreeParent;
1497;4;0;ShirtRZI02ButtonfreeWeissL;ShirtRZI02ButtonfreeParent
1498;4;0;ShirtRZI02ButtonfreeWeissM;ShirtRZI02ButtonfreeParent
1499;4;0;ShirtRZI02ButtonfreeWeissXL;ShirtRZI02ButtonfreeParent
1500;4;0;ShirtRZI02ButtonfreeWeissXXL;ShirtRZI02ButtonfreeParent
1501;4;0;ShirtRZI02ButtonfreeWeissXXXL;ShirtRZI02ButtonfreeParent
1366;4;0;Shirt_H01_Beige_L;Shirt_H01_Parent
1367;4;0;Shirt_H01_Beige_M;Shirt_H01_Parent
1368;4;0;Shirt_H01_Beige_XL;Shirt_H01_Parent
1369;4;0;Shirt_H01_Beige_XXL;Shirt_H01_Parent
1370;4;0;Shirt_H01_Blue_L;Shirt_H01_Parent
1371;4;0;Shirt_H01_Blue_M;Shirt_H01_Parent
1372;4;0;Shirt_H01_Blue_XL;Shirt_H01_Parent
1373;4;0;Shirt_H01_Blue_XXL;Shirt_H01_Parent
1374;4;0;Shirt_H01_Grey_L;Shirt_H01_Parent
1375;4;0;Shirt_H01_Grey_M;Shirt_H01_Parent
1376;4;0;Shirt_H01_Grey_XL;Shirt_H01_Parent
1377;4;0;Shirt_H01_Grey_XXL;Shirt_H01_Parent
1378;4;0;Shirt_H01_Nature-white_L;Shirt_H01_Parent
1379;4;0;Shirt_H01_Nature-white_M;Shirt_H01_Parent
1380;4;0;Shirt_H01_Nature-white_XL;Shirt_H01_Parent
1381;4;0;Shirt_H01_Nature-white_XXL;Shirt_H01_Parent
1382;4;0;Shirt_H01_Olive-green_L;Shirt_H01_Parent
1383;4;0;Shirt_H01_Olive-green_M;Shirt_H01_Parent
1384;4;0;Shirt_H01_Olive-green_XL;Shirt_H01_Parent
1385;4;0;Shirt_H01_Olive-green_XXL;Shirt_H01_Parent
1293;4;0;Shirt_H01_Parent;
1502;4;0;Shirt_T01_Black_L;Shirt_T01_parent
1503;4;0;Shirt_T01_Black_M;Shirt_T01_parent
1504;4;0;Shirt_T01_Black_XL;Shirt_T01_parent
1505;4;0;Shirt_T01_Black_XXL;Shirt_T01_parent
1506;4;0;Shirt_T01_Blue_L;Shirt_T01_parent
1507;4;0;Shirt_T01_Blue_M;Shirt_T01_parent
1508;4;0;Shirt_T01_Blue_XL;Shirt_T01_parent
1509;4;0;Shirt_T01_Blue_XXL;Shirt_T01_parent
1510;4;0;Shirt_T01_Brown_L;Shirt_T01_parent
1511;4;0;Shirt_T01_Brown_M;Shirt_T01_parent
1512;4;0;Shirt_T01_Brown_XL;Shirt_T01_parent
1513;4;0;Shirt_T01_Brown_XXL;Shirt_T01_parent
1514;4;0;Shirt_T01_Natural-white_L;Shirt_T01_parent
1515;4;0;Shirt_T01_Natural-white_M;Shirt_T01_parent
1516;4;0;Shirt_T01_Natural-white_XL;Shirt_T01_parent
1517;4;0;Shirt_T01_Natural-white_XXL;Shirt_T01_parent
1518;4;0;Shirt_T01_White_L;Shirt_T01_parent
1519;4;0;Shirt_T01_White_M;Shirt_T01_parent
1520;4;0;Shirt_T01_White_XL;Shirt_T01_parent
1521;4;0;Shirt_T01_White_XXL;Shirt_T01_parent
1425;4;0;Shirt_T01_parent;
1522;4;0;ShoulderBagBO1elefantCreamL;Schultersack2Size2DesignElefant
1523;4;0;ShoulderBagBO1elefantDblauL;Schultersack2Size2DesignElefant
1524;4;0;ShoulderBagBO1elefantGoldgelbL;Schultersack2Size2DesignElefant
1525;4;0;ShoulderBagBO1elefantGraublauL;Schultersack2Size2DesignElefant
1526;4;0;ShoulderBagBO1elefantSchwarzL;Schultersack2Size2DesignElefant
1527;4;0;ShoulderBagBO2elefantCreamM;Schultersack2Size2DesignElefant
1528;4;0;ShoulderBagBO2elefantDblauM;Schultersack2Size2DesignElefant
1529;4;0;ShoulderBagBO2elefantGoldgelbM;Schultersack2Size2DesignElefant
1530;4;0;ShoulderBagBO2elefantGraublauM;Schultersack2Size2DesignElefant
1531;4;0;ShoulderBagBO2elefantSchwarzM;Schultersack2Size2DesignElefant
1532;4;0;ShoulderBagCO1elefantGrauL;Schultersack2Size2DesignElefant
1533;4;0;ShoulderBagCO1elefantGraublaupinkL;Schultersack2Size2DesignElefant
1534;4;0;ShoulderBagCO1elefantGreenL;Schultersack2Size2DesignElefant
1535;4;0;ShoulderBagCO1elefantLightGreenL;Schultersack2Size2DesignElefant
1536;4;0;ShoulderBagCO1elefantLilatonL;Schultersack2Size2DesignElefant
1537;4;0;ShoulderBagCO1elefantOrange2L;Schultersack2Size2DesignElefant
1538;4;0;ShoulderBagCO1elefantOrangeL;Schultersack2Size2DesignElefant
1539;4;0;ShoulderBagCO1elefantWeinrotGrauL;Schultersack2Size2DesignElefant
1540;4;0;ShoulderBagCO2elefantBeigeM;Schultersack2Size2DesignElefant
1541;4;0;ShoulderBagCO2elefantGraublaupinkM;Schultersack2Size2DesignElefant
1542;4;0;ShoulderBagCO2elefantGreenM;Schultersack2Size2DesignElefant
1543;4;0;ShoulderBagCO2elefantLightGreenM;Schultersack2Size2DesignElefant
1544;4;0;ShoulderBagCO2elefantLilaM;Schultersack2Size2DesignElefant
1545;4;0;ShoulderBagCO2elefantOrange2M;Schultersack2Size2DesignElefant
1546;4;0;ShoulderBagCO2elefantOrangeM;Schultersack2Size2DesignElefant
1547;4;0;ShoulderBagCO2elefantWeinrotgrauM;Schultersack2Size2DesignElefant
1548;4;0;ShoulderBagEO1muster01L;Schultersack2SizeEOwebmuster
1549;4;0;ShoulderBagEO1muster02L;Schultersack2SizeEOwebmuster
1550;4;0;ShoulderBagEO1muster03L;Schultersack2SizeEOwebmuster
1551;4;0;ShoulderBagEO1muster04L;Schultersack2SizeEOwebmuster
1552;4;0;ShoulderBagEO1muster05L;Schultersack2SizeEOwebmuster
1553;4;0;ShoulderBagEO1muster06L;Schultersack2SizeEOwebmuster
1554;4;0;ShoulderBagEO1muster07L;Schultersack2SizeEOwebmuster
1555;4;0;ShoulderBagEO1muster09L;Schultersack2SizeEOwebmuster
1556;4;0;ShoulderBagEO2muster01M;Schultersack2SizeEOwebmuster
1557;4;0;ShoulderBagEO2muster02M;Schultersack2SizeEOwebmuster
1558;4;0;ShoulderBagEO2muster03M;Schultersack2SizeEOwebmuster
1559;4;0;ShoulderBagEO2muster04M;Schultersack2SizeEOwebmuster
1560;4;0;ShoulderBagEO2muster05M;Schultersack2SizeEOwebmuster
1561;4;0;ShoulderBagEO2muster06M;Schultersack2SizeEOwebmuster
1562;4;0;ShoulderBagEO2muster07M;Schultersack2SizeEOwebmuster
1563;4;0;ShoulderBagEO2muster09M;Schultersack2SizeEOwebmuster
